date,hits,keyword,geo,time,gprop,category,hits_num,month,year
2016-10-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Oct,2016
2016-11-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Nov,2016
2016-12-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Dec,2016
2017-01-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jan,2017
2017-02-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Feb,2017
2017-03-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Mar,2017
2017-04-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Apr,2017
2017-05-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,May,2017
2017-06-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jun,2017
2017-07-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jul,2017
2017-08-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Aug,2017
2017-09-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Sep,2017
2017-10-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Oct,2017
2017-11-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Nov,2017
2017-12-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Dec,2017
2018-01-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jan,2018
2018-02-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Feb,2018
2018-03-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Mar,2018
2018-04-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Apr,2018
2018-05-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,May,2018
2018-06-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jun,2018
2018-07-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jul,2018
2018-08-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Aug,2018
2018-09-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Sep,2018
2018-10-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Oct,2018
2018-11-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Nov,2018
2018-12-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Dec,2018
2019-01-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jan,2019
2019-02-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Feb,2019
2019-03-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Mar,2019
2019-04-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Apr,2019
2019-05-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,May,2019
2019-06-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jun,2019
2019-07-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jul,2019
2019-08-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Aug,2019
2019-09-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Sep,2019
2019-10-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Oct,2019
2019-11-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Nov,2019
2019-12-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Dec,2019
2020-01-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jan,2020
2020-02-01T00:00:00Z,1,COVID,US-CA,all,web,0,1,Feb,2020
2020-03-01T00:00:00Z,37,COVID,US-CA,all,web,0,37,Mar,2020
2020-04-01T00:00:00Z,49,COVID,US-CA,all,web,0,49,Apr,2020
2020-05-01T00:00:00Z,34,COVID,US-CA,all,web,0,34,May,2020
2020-06-01T00:00:00Z,38,COVID,US-CA,all,web,0,38,Jun,2020
2020-07-01T00:00:00Z,55,COVID,US-CA,all,web,0,55,Jul,2020
2020-08-01T00:00:00Z,34,COVID,US-CA,all,web,0,34,Aug,2020
2020-09-01T00:00:00Z,25,COVID,US-CA,all,web,0,25,Sep,2020
2020-10-01T00:00:00Z,33,COVID,US-CA,all,web,0,33,Oct,2020
2020-11-01T00:00:00Z,50,COVID,US-CA,all,web,0,50,Nov,2020
2020-12-01T00:00:00Z,77,COVID,US-CA,all,web,0,77,Dec,2020
2021-01-01T00:00:00Z,68,COVID,US-CA,all,web,0,68,Jan,2021
2021-02-01T00:00:00Z,46,COVID,US-CA,all,web,0,46,Feb,2021
2021-03-01T00:00:00Z,53,COVID,US-CA,all,web,0,53,Mar,2021
2021-04-01T00:00:00Z,46,COVID,US-CA,all,web,0,46,Apr,2021
2021-05-01T00:00:00Z,34,COVID,US-CA,all,web,0,34,May,2021
2021-06-01T00:00:00Z,26,COVID,US-CA,all,web,0,26,Jun,2021
2021-07-01T00:00:00Z,35,COVID,US-CA,all,web,0,35,Jul,2021
2021-08-01T00:00:00Z,62,COVID,US-CA,all,web,0,62,Aug,2021
2021-09-01T00:00:00Z,44,COVID,US-CA,all,web,0,44,Sep,2021
2021-10-01T00:00:00Z,31,COVID,US-CA,all,web,0,31,Oct,2021
2021-11-01T00:00:00Z,32,COVID,US-CA,all,web,0,32,Nov,2021
2021-12-01T00:00:00Z,56,COVID,US-CA,all,web,0,56,Dec,2021
2022-01-01T00:00:00Z,100,COVID,US-CA,all,web,0,100,Jan,2022
2022-02-01T00:00:00Z,27,COVID,US-CA,all,web,0,27,Feb,2022
2022-03-01T00:00:00Z,19,COVID,US-CA,all,web,0,19,Mar,2022
2022-04-01T00:00:00Z,18,COVID,US-CA,all,web,0,18,Apr,2022
2022-05-01T00:00:00Z,23,COVID,US-CA,all,web,0,23,May,2022
2022-06-01T00:00:00Z,25,COVID,US-CA,all,web,0,25,Jun,2022
2022-07-01T00:00:00Z,27,COVID,US-CA,all,web,0,27,Jul,2022
2022-08-01T00:00:00Z,18,COVID,US-CA,all,web,0,18,Aug,2022
2022-09-01T00:00:00Z,13,COVID,US-CA,all,web,0,13,Sep,2022
2022-10-01T00:00:00Z,11,COVID,US-CA,all,web,0,11,Oct,2022
2022-11-01T00:00:00Z,12,COVID,US-CA,all,web,0,12,Nov,2022
